Depth,Monst dmg,Monst life,Monster level,Sulphite deposit,sulphite cost,Darkness res
1,0,0,34,31,21,0
2,0,0,35,32,24,0
3,0,0,36,32,24,-2
4,0,0,37,34,24,-4
5,0,0,38,34,27,-6
6,0,0,39,34,27,-8
7,0,0,40,35,28,-10
8,0,0,41,35,29,-12
9,0,0,42,37,29,-14
10,0,0,43,37,29,-16
11,0,0,44,37,29,-18
12,0,0,45,39,31,-20
13,0,0,46,40,34,-22
14,0,0,47,40,37,-24
15,0,0,48,40,37,-26
16,0,0,49,42,37,-28
17,0,0,50,42,39,-30
18,0,0,51,43,40,-32
19,0,0,52,43,41,-34
20,0,0,53,43,43,-36
21,0,0,54,45,43,-38
22,0,0,55,45,45,-40
23,0,0,56,47,47,-42
24,0,0,57,47,47,-44
25,0,0,58,47,49,-46
26,0,0,59,48,51,-48
27,0,0,60,50,51,-50
28,0,0,61,50,53,-52
29,0,0,62,50,55,-54
30,0,0,63,50,55,-56
31,0,0,64,52,57,-58
32,0,0,65,53,59,-60
33,0,0,66,53,61,-62
34,0,0,67,53,62,-64
35,0,0,68,150,77,-66
36,0,0,68,150,77,-68
37,0,0,68,150,77,-70
38,0,0,68,150,77,-72
39,0,0,69,301,77,-74
40,0,0,69,301,77,-76
41,0,0,69,301,112,-78
42,0,0,69,301,112,-80
43,0,0,70,456,112,-82
44,0,0,70,456,112,-84
45,0,0,70,456,112,-86
46,0,0,70,456,112,-88
47,0,0,71,611,147,-90
48,0,0,71,611,147,-92
49,0,0,71,611,147,-94
50,0,0,71,611,147,-96
51,0,0,72,765,147,-98
52,0,0,72,765,147,-100
53,0,0,72,765,182,-102
54,0,0,72,765,182,-104
55,0,0,73,921,182,-106
56,0,0,73,921,182,-108
57,0,0,73,921,182,-110
58,0,0,73,921,182,-112
59,0,0,74,1075,217,-114
60,0,0,74,1075,217,-116
61,0,0,74,1075,217,-118
62,0,0,74,1075,217,-120
63,0,0,74,1075,217,-122
64,0,0,75,1231,217,-124
65,0,0,75,1231,253,-126
66,0,0,75,1231,253,-128
67,0,0,75,1231,253,-130
68,0,0,75,1231,253,-132
69,0,0,76,1380,253,-134
70,0,0,76,1380,253,-136
71,0,0,76,1380,253,-138
72,0,0,76,1380,253,-140
73,0,0,76,1380,253,-142
74,0,0,77,1533,288,-144
75,0,0,77,1533,288,-146
76,0,0,77,1533,288,-148
77,0,0,77,1533,288,-150
78,0,0,77,1533,288,-152
79,0,0,77,1533,288,-154
80,0,0,77,1533,288,-156
81,0,0,78,1681,288,-158
82,0,0,78,1681,288,-160
83,0,0,78,1681,323,-162
84,0,0,78,1681,323,-164
85,0,0,78,1681,323,-166
86,0,0,78,1681,323,-168
87,0,0,78,1681,323,-170
88,0,0,78,1681,323,-172
89,0,0,78,1681,323,-174
90,0,0,79,1827,323,-176
91,0,0,79,1827,323,-178
92,0,0,79,1827,358,-180
93,0,0,79,1827,358,-182
94,0,0,79,1827,358,-184
95,0,0,79,1827,358,-186
96,0,0,79,1827,358,-188
97,0,0,79,1827,358,-190
98,0,0,79,1827,358,-192
99,0,0,79,1827,358,-194
100,0,0,79,1827,358,-196
101,0,0,80,1970,393,-198
102,0,0,80,1970,393,-200
103,0,0,80,1970,393,-202
104,0,0,80,1970,393,-204
105,0,0,80,1970,393,-206
